stay_date,rooms_available,total_rooms,rooms_sold,adr,total_rate,revenue
2026-02-22,120,120,85,131.11,11144.35,11144.35
2026-02-23,120,120,76,122.88,9338.88,9338.88
2026-02-24,120,120,79,126.28,9976.12,9976.12
2026-02-25,120,120,81,121.86,9870.66,9870.66
2026-02-26,120,120,77,121.43,9350.11,9350.11
2026-02-27,120,120,94,156.25,14687.5,14687.5
2026-02-28,120,120,93,153.38,14264.34,14264.34
2026-03-01,120,120,97,153.77,14915.69,14915.69
2026-03-02,120,120,86,142.76,12277.36,12277.36
2026-03-03,120,120,91,137.8,12539.8,12539.8
2026-03-04,120,120,91,143.69,13075.79,13075.79
2026-03-05,120,120,87,139.06,12098.22,12098.22
2026-03-06,120,120,110,175.76,19333.6,19333.6
2026-03-07,120,120,106,173.21,18360.26,18360.26
2026-03-08,120,120,99,154.31,15276.69,15276.69
2026-03-09,120,120,91,143.96,13100.36,13100.36
2026-03-10,120,120,89,146.03,12996.67,12996.67
2026-03-11,120,120,87,142.44,12392.28,12392.28
2026-03-12,120,120,91,143.01,13013.91,13013.91
2026-03-13,120,120,110,178.32,19615.2,19615.2
2026-03-14,120,120,110,172.66,18992.6,18992.6
2026-03-15,120,120,93,151.42,14082.06,14082.06
2026-03-16,120,120,85,139.72,11876.2,11876.2
2026-03-17,120,120,85,140.11,11909.35,11909.35
2026-03-18,120,120,90,140.85,12676.5,12676.5
2026-03-19,120,120,87,139.52,12138.24,12138.24
2026-03-20,120,120,108,182.15,19672.2,19672.2
2026-03-21,120,120,110,178.66,19652.6,19652.6
2026-03-22,120,120,92,155.47,14303.24,14303.24
2026-03-23,120,120,85,140.97,11982.45,11982.45
2026-03-24,120,120,93,143.19,13316.67,13316.67
2026-03-25,120,120,89,143.57,12777.73,12777.73
2026-03-26,120,120,91,144.35,13135.85,13135.85
2026-03-27,120,120,107,172.52,18459.64,18459.64
2026-03-28,120,120,108,175.03,18903.24,18903.24
2026-03-29,120,120,93,157.44,14641.92,14641.92
2026-03-30,120,120,92,140.42,12918.64,12918.64
2026-03-31,120,120,90,141.11,12699.9,12699.9
2026-04-01,120,120,92,141.65,13031.8,13031.8
2026-04-02,120,120,86,139.84,12026.24,12026.24
2026-04-03,120,120,110,174.97,19246.7,19246.7
2026-04-04,120,120,110,181.74,19991.4,19991.4
2026-04-05,120,120,94,150.78,14173.32,14173.32
2026-04-06,120,120,93,142.08,13213.44,13213.44
2026-04-07,120,120,85,138.14,11741.9,11741.9
2026-04-08,120,120,85,143.09,12162.65,12162.65
2026-04-09,120,120,91,141.34,12861.94,12861.94
2026-04-10,120,120,106,176.24,18681.44,18681.44
2026-04-11,120,120,110,177.81,19559.1,19559.1
2026-04-12,120,120,100,156.68,15668.0,15668.0
2026-04-13,120,120,84,143.88,12085.92,12085.92
2026-04-14,120,120,90,142.31,12807.9,12807.9
2026-04-15,120,120,86,143.2,12315.2,12315.2
2026-04-16,120,120,85,141.44,12022.4,12022.4
2026-04-17,120,120,110,182.33,20056.3,20056.3
2026-04-18,120,120,110,174.98,19247.8,19247.8
2026-04-19,120,120,95,150.4,14288.0,14288.0
2026-04-20,120,120,92,145.16,13354.72,13354.72
2026-04-21,120,120,87,143.18,12456.66,12456.66
2026-04-22,120,120,89,139.04,12374.56,12374.56
2026-04-23,120,120,91,142.34,12952.94,12952.94
2026-04-24,120,120,110,177.82,19560.2,19560.2
2026-04-25,120,120,105,175.63,18441.15,18441.15
2026-04-26,120,120,91,157.31,14315.21,14315.21
2026-04-27,120,120,92,144.83,13324.36,13324.36
2026-04-28,120,120,87,138.23,12026.01,12026.01
2026-04-29,120,120,92,145.81,13414.52,13414.52
2026-04-30,120,120,85,141.88,12059.8,12059.8
2026-05-01,120,120,106,180.28,19109.68,19109.68
2026-05-02,120,120,110,173.54,19089.4,19089.4
2026-05-03,120,120,95,153.82,14612.9,14612.9
2026-05-04,120,120,86,145.17,12484.62,12484.62
2026-05-05,120,120,88,139.54,12279.52,12279.52
2026-05-06,120,120,89,143.96,12812.44,12812.44
2026-05-07,120,120,86,140.4,12074.4,12074.4
2026-05-08,120,120,110,179.1,19701.0,19701.0
2026-05-09,120,120,110,177.69,19545.9,19545.9
2026-05-10,120,120,92,150.83,13876.36,13876.36
2026-05-11,120,120,87,142.75,12419.25,12419.25
2026-05-12,120,120,86,139.62,12007.32,12007.32
2026-05-13,120,120,84,143.12,12022.08,12022.08
2026-05-14,120,120,86,145.45,12508.7,12508.7
2026-05-15,120,120,110,172.93,19022.3,19022.3
2026-05-16,120,120,108,179.3,19364.4,19364.4
2026-05-17,120,120,93,149.98,13948.14,13948.14
2026-05-18,120,120,92,142.61,13120.12,13120.12
2026-05-19,120,120,88,144.42,12708.96,12708.96
2026-05-20,120,120,91,139.36,12681.76,12681.76
2026-05-21,120,120,85,141.41,12019.85,12019.85
2026-05-22,120,120,110,177.15,19486.5,19486.5
