stay_date,rooms_available,total_rooms,rooms_sold,adr,total_rate,revenue
2026-02-22,120,120,84,138.23,11611.32,11611.32
2026-02-23,120,120,76,127.2,9667.2,9667.2
2026-02-24,120,120,78,123.85,9660.3,9660.3
2026-02-25,120,120,79,125.87,9943.73,9943.73
2026-02-26,120,120,79,126.62,10002.98,10002.98
2026-02-27,120,120,99,159.37,15777.63,15777.63
2026-02-28,120,120,98,159.98,15678.04,15678.04
2026-03-01,120,120,97,151.6,14705.2,14705.2
2026-03-02,120,120,88,142.68,12555.84,12555.84
2026-03-03,120,120,90,138.51,12465.9,12465.9
2026-03-04,120,120,86,144.11,12393.46,12393.46
2026-03-05,120,120,85,138.87,11803.95,11803.95
2026-03-06,120,120,110,182.52,20077.2,20077.2
2026-03-07,120,120,110,181.9,20009.0,20009.0
2026-03-08,120,120,99,151.12,14960.88,14960.88
2026-03-09,120,120,91,141.85,12908.35,12908.35
2026-03-10,120,120,91,144.1,13113.1,13113.1
2026-03-11,120,120,87,138.72,12068.64,12068.64
2026-03-12,120,120,92,138.94,12782.48,12782.48
2026-03-13,120,120,110,181.34,19947.4,19947.4
2026-03-14,120,120,110,182.61,20087.1,20087.1
2026-03-15,120,120,100,156.16,15616.0,15616.0
2026-03-16,120,120,87,144.48,12569.76,12569.76
2026-03-17,120,120,84,142.31,11954.04,11954.04
2026-03-18,120,120,88,143.47,12625.36,12625.36
2026-03-19,120,120,90,142.72,12844.8,12844.8
2026-03-20,120,120,110,182.19,20040.9,20040.9
2026-03-21,120,120,106,174.67,18515.02,18515.02
2026-03-22,120,120,91,156.9,14277.9,14277.9
2026-03-23,120,120,89,145.54,12953.06,12953.06
2026-03-24,120,120,86,138.28,11892.08,11892.08
2026-03-25,120,120,91,145.49,13239.59,13239.59
2026-03-26,120,120,87,141.22,12286.14,12286.14
2026-03-27,120,120,107,182.25,19500.75,19500.75
2026-03-28,120,120,108,177.42,19161.36,19161.36
2026-03-29,120,120,92,156.92,14436.64,14436.64
2026-03-30,120,120,85,141.61,12036.85,12036.85
2026-03-31,120,120,90,144.07,12966.3,12966.3
2026-04-01,120,120,92,141.31,13000.52,13000.52
2026-04-02,120,120,90,139.06,12515.4,12515.4
2026-04-03,120,120,110,173.23,19055.3,19055.3
2026-04-04,120,120,110,176.52,19417.2,19417.2
2026-04-05,120,120,100,149.06,14906.0,14906.0
2026-04-06,120,120,87,141.52,12312.24,12312.24
2026-04-07,120,120,92,145.03,13342.76,13342.76
2026-04-08,120,120,85,143.58,12204.3,12204.3
2026-04-09,120,120,89,146.07,13000.23,13000.23
2026-04-10,120,120,109,176.42,19229.78,19229.78
2026-04-11,120,120,107,173.48,18562.36,18562.36
2026-04-12,120,120,99,152.94,15141.06,15141.06
2026-04-13,120,120,90,143.21,12888.9,12888.9
2026-04-14,120,120,89,137.92,12274.88,12274.88
2026-04-15,120,120,91,139.82,12723.62,12723.62
2026-04-16,120,120,85,142.55,12116.75,12116.75
2026-04-17,120,120,106,180.32,19113.92,19113.92
2026-04-18,120,120,107,174.47,18668.29,18668.29
