stay_date,booking_date,rooms_available,total_rooms,rooms_sold,adr,total_rate,revenue
2025-02-01,2025-01-15,80,100,72,145.50,10476.00,10476.00
2025-02-02,2025-01-16,80,100,68,152.00,10336.00,10336.00
2025-02-03,2025-01-17,80,100,65,148.25,9636.25,9636.25
2025-02-04,2025-01-18,80,100,70,155.00,10850.00,10850.00
2025-02-05,2025-01-19,80,100,75,162.00,12150.00,12150.00
2025-02-06,2025-01-20,80,100,78,168.50,13143.00,13143.00
2025-02-07,2025-01-21,80,100,82,175.00,14350.00,14350.00
2025-02-08,2025-01-22,80,100,85,180.00,15300.00,15300.00
2025-02-09,2025-01-23,80,100,80,172.50,13800.00,13800.00
2025-02-10,2025-01-24,80,100,76,165.00,12540.00,12540.00
2025-02-11,2025-01-25,80,100,71,158.00,11218.00,11218.00
2025-02-12,2025-01-26,80,100,69,155.50,10729.50,10729.50
2025-02-13,2025-01-27,80,100,73,160.00,11680.00,11680.00
2025-02-14,2025-01-28,80,100,88,195.00,17160.00,17160.00
2025-02-15,2025-01-29,80,100,90,200.00,18000.00,18000.00
2025-02-16,2025-01-30,80,100,86,192.50,16555.00,16555.00
2025-02-17,2025-01-31,80,100,84,188.00,15792.00,15792.00
2025-02-18,2025-02-01,80,100,70,165.00,11550.00,11550.00
2025-02-19,2025-02-02,80,100,68,162.00,11016.00,11016.00
2025-02-20,2025-02-03,80,100,72,168.00,12096.00,12096.00
2025-02-21,2025-02-04,80,100,79,178.00,14062.00,14062.00
2025-02-22,2025-02-05,80,100,81,182.00,14742.00,14742.00
2025-02-23,2025-02-06,80,100,77,175.00,13475.00,13475.00
2025-02-24,2025-02-07,80,100,74,170.00,12580.00,12580.00
2025-02-25,2025-02-08,80,100,71,165.00,11715.00,11715.00
2025-02-26,2025-02-09,80,100,69,160.00,11040.00,11040.00
2025-02-27,2025-02-10,80,100,73,165.50,12081.50,12081.50
2025-02-28,2025-02-11,80,100,76,170.00,12920.00,12920.00
